CODLINHA,NOMELINHA
180,AVERDE/ABRANCHES
673,FORMOSA
331,MERCÚRIO
650,S.RITA/PINHEIRIN
674,N. SRA. DA LUZ
680,RURBANA
184,V. SUIÇA
212,SOLAR
913,BUTIATUVINHA
789,MAD. CAIUÁ
182,ABRANCHES
614,FAZENDINHA/PUC
464,A.MUN/J.BOTÂNICO
X24,REFORÇO SAMBAQUI
720,FAZEN/C.COMPRIDO
260,M.HERMES/STA.EFI
060,INTERBAIRROS VI
393,C.IMB./P.BARIGUI
541,BAIRRO NOVO A
462,PETRÓPOLIS
989,MAD. STA. FELICIDADE
732,CAIUA/C.COMPRIDO
719,FAZ./CAIUÁ-FRIGO
811,SATURNO
536,ZOOLÓGICO
TSB,TUBO S BERNADETE
965,SÃO BERNARDO
703,CAIUÁ
225,B.VISTA/BARREIR
265,AHÚ/LOS ANGELES
378,INTERHOSPITAIS
829,UNIV.POSITIVO
778,COTOLENGO
245,REFORÇO ANITA GARIBALDI
608,MAD. PINHEIRINHO
231,BANES/CALIFÓRNIA
165,UNIVERSIDADES
X25,ESP. UNIANDRADE
371,HIGIENÓPOLIS
616,PORT/ST.BER-LVER
535,OSTERNACK/BOQ.
656,KAMYR
621,FANNY
169,JD. KOSMOS
461,STA. BARBARA
611,FAZENDINH/PORTÃO
385,CRISTO REI
761,V. IZABEL
TXA,TUBO XAXIM
474,JD. ITIBERÊ
011,INTERBAIRROS I A
366,ITUPAV/H.MILITAR
622,RONDON
181,MATEUS LEME
822,GABINETO
649,PIRINEUS
189,MAD. ABRANCHES
226,ABAETÉ
489,MAD. PETRÓPOLIS / SOLITUDE
236,SÃO BENEDITO
689,MAD. S. PEDRO / R. NEGRO
615,UBERLÂNDIA
659,CAXIMBA/OLARIA
471,V. SÃO PAULO
630,VITÓRIA RÉGIA
901,STA. FELICIDADE
831,FAZEND./C.RASO
465,ERASTO  GAERTNER
475,CANAL BELÉM
335,CENT./BOQUEIRÃO 
654,CAMPO ALEGRE
207,CABRAL / OSÓRIO
243,STA. TEREZINHA
311,ARAGUAIA
242,V. LEONICE
030,INTERBAIRROS III
232,ALIANÇA
915,O.VERDE/V.BÁDIA
701,FAZENDINHA
801,CAMP.SIQ./BATEL
548,OSTERN/S.CERCADO
TMA,TUBO MARECHAL
640,PALMEIRA
Z03,V.CARV./C.IMBUIA
683,FUTURAMA/S.CERC.
001,C. CENTRO (H)
021,INTERB II ANTI H
TPH,TERMINAL PINHEIRINHO
776,CARMELA DUTRA
671,PORTÃO
389,MAD. TARUMÃ / AUGUSTA
653,SABARÁ
916,PINHEIROS
911,PASSAÚNA
X14,REFORÇO HAUER
040,INTERBAIRROS IV
167,FREDOLIN WOLF
372,TARUMÃ
540,BOQUEIRÃO/KRAFT
