CODLINHA,NOMELINHA
271,LARANJEIRAS
180,AVERDE/ABRANCHES
673,FORMOSA
212,SOLAR
650,S.RITA/PINHEIRIN
184,V. SUIÇA
680,RURBANA
674,N. SRA. DA LUZ
913,BUTIATUVINHA
789,MAD. CAIUÁ
182,ABRANCHES
260,M.HERMES/STA.EFI
541,BAIRRO NOVO A
462,PETRÓPOLIS
989,MAD. STA. FELICIDADE
811,SATURNO
536,ZOOLÓGICO
965,SÃO BERNARDO
TSB,TUBO S BERNADETE
265,AHÚ/LOS ANGELES
225,B.VISTA/BARREIR
778,COTOLENGO
231,BANES/CALIFÓRNIA
616,PORT/ST.BER-LVER
371,HIGIENÓPOLIS
535,OSTERNACK/BOQ.
656,KAMYR
169,JD. KOSMOS
621,FANNY
611,FAZENDINH/PORTÃO
385,CRISTO REI
TXA,TUBO XAXIM
761,V. IZABEL
474,JD. ITIBERÊ
011,INTERBAIRROS I A
366,ITUPAV/H.MILITAR
181,MATEUS LEME
822,GABINETO
649,PIRINEUS
189,MAD. ABRANCHES
226,ABAETÉ
489,MAD. PETRÓPOLIS / SOLITUDE
236,SÃO BENEDITO
615,UBERLÂNDIA
659,CAXIMBA/OLARIA
471,V. SÃO PAULO
630,VITÓRIA RÉGIA
901,STA. FELICIDADE
465,ERASTO  GAERTNER
475,CANAL BELÉM
654,CAMPO ALEGRE
335,CENT./BOQUEIRÃO 
207,CABRAL / OSÓRIO
311,ARAGUAIA
242,V. LEONICE
030,INTERBAIRROS III
232,ALIANÇA
915,O.VERDE/V.BÁDIA
548,OSTERN/S.CERCADO
683,FUTURAMA/S.CERC.
TMA,TUBO MARECHAL
640,PALMEIRA
TPH,TERMINAL PINHEIRINHO
021,INTERB II ANTI H
389,MAD. TARUMÃ / AUGUSTA
916,PINHEIROS
911,PASSAÚNA
653,SABARÁ
040,INTERBAIRROS IV
372,TARUMÃ
540,BOQUEIRÃO/KRAFT
823,AUGUSTA
762,V. ROSINHA
549,MAD. BAIRRO NOVO
336,V. RENO
777,V. VELHA
652,V. VERDE
TSP,TUBO SAO PEDRO  
ARA,SISTEMA ARAUCARIA
TSQ,TUBO ST QUITERIA
670,SÃO JORGE
821,FERNÃO DIAS
619,STA. RITA / CIC
875,BIGORRILHO
924,STA.FEL/SCÂNDIDA
233,OLARIA
050,INTERBAIRROS V
175,BOM RETIRO / PUC
361,AUGUSTO STRESSER
657,XAXIM/CAPÃO RASO
609,MAD. CIC
370,RUA XV / BARIGUI
641,LUIZ NICHELE
533,E.VERÍS/PANTANAL
685,RIO BONITO/CIC
522,MARINGÁ
532,JD.PARANAENSE
209,MAD. S. CÂNDIDA / C. RASO
321,TRINDADE
322,CAMARGO
632,QUARTEL GENERAL
967,JÚLIO GRAF
870,SÃO BRAZ
861,TRAMONTINA
470,GUABIROTUBA
341,B.ALTO/STA.CA
917,JD. IPÊ
183,JD. CHAPARRAL
512,ITAMARATI
166,V. NORI
718,PORTO BELO
646,POMPÉIA / JANAÍNA
216,CABRAL / PORTÃO
531,STA. INÊS
386,CAJURU
972,JD. ITÁLIA
624,V. SÃO PEDRO
545,TRABALHADOR
658,C.RASO/CAIUÁ
826,C.COMPRIDO/CIC
661,LINDÓIA
272,PAINEIRAS
170,BRACATINGA
308,MAD. CENTENÁRIO / RUI BARBOSA
222,V. ESPERANÇA
623,PQ.INDUSTRIAL
309,MAD. CENTENÁRIO
679,MAD. TATUQUARA
712,JD.INDEPEND./CIC
513,HAUER/BOQUEIRÃO
912,JOSÉ CULPI
468,JD. CENTAURO
TFA,TUBO FANNY
020,INTERBAIRR II H
889,MAD. SÃO BRÁZ
828,C.COMP/C.RASO
176,NILO PEÇANHA
633,MARIA ANGÉLICA
629,ALTO BOQUEIRÃO
663,V. CUBAS
205,BARREIRINHA
211,COLINA VERDE
711,ITATIAIA
375,SAGRADO CORAÇÃO
547,BAIRRO NOVO C
642,GANCHINHO
OPC,OP. CONTIGENCIA
542,BAIRRO NOVO B
561,GUILHERMINA
628,CARBOMAFRA
636,RIO NEGRO
814,MOSSUNGUÊ
876,SAVÓIA
662,DOM ÁTICO
160,J.MERCES/GUANABA
374,HUGO LANGE
266,ESTRIBO AHÚ
655,JD. ORDEM
334,AGRÍCOLA
338,CENTENÁRIO/HAUER
000,OPER S/LINHA
666,NOVO MUNDO
643,UMBARÁ
860,V. SANDRA
523,IGUAPE I
809,MAD. CAMPO COMPRIDO
168,RAPOSO TAVARES
466,ESTUDANTES
714,V. MARISA
635,LONDRINA
684,RIO BONITO
644,PINHEIRINHO/CIC
812,MONTANA
472,UBERABA
918,VENEZA
627,BOSCH
323,V. AUTÓDROMO
380,DETRAN/V.MACHADO
521,NIVALDO BRAGA
515,IGUAPE II
788,MAD. V. VELHA
625,GRAMADOS
214,TINGUI
270,FERNANDO NORONHA
612,PORTÃO / CIC
688,PINHEIRINHO/ZOO
617,JD. LUDOVICA
639,FUTURAMA
511,SÃO FRANCISCO
387,PALOTINOS
171,PRIMAVERA
342,B.ALTO/BOA VISTA
224,CASSIOPÉIA
229,MAD.PENHA/F.NORO
463,SOLITUDE
534,PARIGOT DE SOUZA
332,ACRÓPOLE
373,ALTO TARUMÃ
690,V. JULIANA
631,PIRATINI/BR476
665,V. REX
637,STA. JOANA
638,PINHEIRINHO
010,INTERBAIRROS I H
