CODLINHA,NOMELINHA
271,LARANJEIRAS
180,AVERDE/ABRANCHES
673,FORMOSA
331,MERCÚRIO
650,S.RITA/PINHEIRIN
674,N. SRA. DA LUZ
680,RURBANA
184,V. SUIÇA
212,SOLAR
913,BUTIATUVINHA
789,MAD. CAIUÁ
182,ABRANCHES
464,A.MUN/J.BOTÂNICO
614,FAZENDINHA/PUC
X24,REFORÇO SAMBAQUI
720,FAZEN/C.COMPRIDO
260,M.HERMES/STA.EFI
060,INTERBAIRROS VI
541,BAIRRO NOVO A
462,PETRÓPOLIS
732,CAIUA/C.COMPRIDO
989,MAD. STA. FELICIDADE
360,NOVENA
719,FAZ./CAIUÁ-FRIGO
811,SATURNO
536,ZOOLÓGICO
TSB,TUBO S BERNADETE
965,SÃO BERNARDO
703,CAIUÁ
516,C.BELEM/S.FILHO
225,B.VISTA/BARREIR
265,AHÚ/LOS ANGELES
378,INTERHOSPITAIS
829,UNIV.POSITIVO
778,COTOLENGO
245,REFORÇO ANITA GARIBALDI
165,UNIVERSIDADES
231,BANES/CALIFÓRNIA
X25,ESP. UNIANDRADE
371,HIGIENÓPOLIS
616,PORT/ST.BER-LVER
535,OSTERNACK/BOQ.
656,KAMYR
621,FANNY
169,JD. KOSMOS
611,FAZENDINH/PORTÃO
461,STA. BARBARA
385,CRISTO REI
761,V. IZABEL
TXA,TUBO XAXIM
474,JD. ITIBERÊ
011,INTERBAIRROS I A
366,ITUPAV/H.MILITAR
622,RONDON
181,MATEUS LEME
649,PIRINEUS
822,GABINETO
189,MAD. ABRANCHES
226,ABAETÉ
489,MAD. PETRÓPOLIS / SOLITUDE
689,MAD. S. PEDRO / R. NEGRO
236,SÃO BENEDITO
615,UBERLÂNDIA
659,CAXIMBA/OLARIA
471,V. SÃO PAULO
901,STA. FELICIDADE
630,VITÓRIA RÉGIA
465,ERASTO  GAERTNER
831,FAZEND./C.RASO
475,CANAL BELÉM
654,CAMPO ALEGRE
335,CENT./BOQUEIRÃO 
207,CABRAL / OSÓRIO
243,STA. TEREZINHA
311,ARAGUAIA
242,V. LEONICE
915,O.VERDE/V.BÁDIA
030,INTERBAIRROS III
232,ALIANÇA
801,CAMP.SIQ./BATEL
701,FAZENDINHA
TMA,TUBO MARECHAL
640,PALMEIRA
548,OSTERN/S.CERCADO
001,C. CENTRO (H)
683,FUTURAMA/S.CERC.
021,INTERB II ANTI H
TPH,TERMINAL PINHEIRINHO
389,MAD. TARUMÃ / AUGUSTA
671,PORTÃO
776,CARMELA DUTRA
916,PINHEIROS
911,PASSAÚNA
653,SABARÁ
040,INTERBAIRROS IV
167,FREDOLIN WOLF
372,TARUMÃ
540,BOQUEIRÃO/KRAFT
823,AUGUSTA
825,V. MARQUETO
815,TUIUTI BARIGUI
365,JD.SOCIAL/BATEL
762,V. ROSINHA
594,MENONITAS
549,MAD. BAIRRO NOVO
336,V. RENO
777,V. VELHA
652,V. VERDE
TSP,TUBO SAO PEDRO  
ARA,SISTEMA ARAUCARIA
816,C.SIQUEIRA/STA.FELICIDADE
TSQ,TUBO ST QUITERIA
619,STA. RITA / CIC
821,FERNÃO DIAS
875,BIGORRILHO
670,SÃO JORGE
924,STA.FEL/SCÂNDIDA
233,OLARIA
175,BOM RETIRO / PUC
050,INTERBAIRROS V
657,XAXIM/CAPÃO RASO
361,AUGUSTO STRESSER
533,E.VERÍS/PANTANAL
641,LUIZ NICHELE
370,RUA XV / BARIGUI
685,RIO BONITO/CIC
620,STA. CRUZ
532,JD.PARANAENSE
522,MARINGÁ
321,TRINDADE
322,CAMARGO
632,QUARTEL GENERAL
967,JÚLIO GRAF
870,SÃO BRAZ
861,TRAMONTINA
341,B.ALTO/STA.CA
470,GUABIROTUBA
244,JD. DO ARROIO
917,JD. IPÊ
183,JD. CHAPARRAL
213,SÃO JOÃO
512,ITAMARATI
718,PORTO BELO
166,V. NORI
646,POMPÉIA / JANAÍNA
216,CABRAL / PORTÃO
531,STA. INÊS
386,CAJURU
721,MARIO JORGE
972,JD. ITÁLIA
551,XAXIM/L. VERDE
624,V. SÃO PEDRO
545,TRABALHADOR
658,C.RASO/CAIUÁ
826,C.COMPRIDO/CIC
188,MAD. PILARZINHO / UBERABA
272,PAINEIRAS
661,LINDÓIA
170,BRACATINGA
222,V. ESPERANÇA
623,PQ.INDUSTRIAL
309,MAD. CENTENÁRIO
219,REFORÇO COLINA
679,MAD. TATUQUARA
712,JD.INDEPEND./CIC
865,JD. ESPLANADA
513,HAUER/BOQUEIRÃO
912,JOSÉ CULPI
468,JD. CENTAURO
TFA,TUBO FANNY
020,INTERBAIRR II H
889,MAD. SÃO BRÁZ
467,V. MACEDO
668,CASA DE CUSTÓDIA
828,C.COMP/C.RASO
176,NILO PEÇANHA
633,MARIA ANGÉLICA
629,ALTO BOQUEIRÃO
827,RIVIERA
663,V. CUBAS
205,BARREIRINHA
211,COLINA VERDE
711,ITATIAIA
713,STA. AMÉLIA
667,TERMINAL CIC
760,STA. QUITÉRIA
375,SAGRADO CORAÇÃO
547,BAIRRO NOVO C
642,GANCHINHO
OPC,OP. CONTIGENCIA
542,BAIRRO NOVO B
561,GUILHERMINA
628,CARBOMAFRA
636,RIO NEGRO
814,MOSSUNGUÊ
876,SAVÓIA
662,DOM ÁTICO
374,HUGO LANGE
160,J.MERCES/GUANABA
266,ESTRIBO AHÚ
334,AGRÍCOLA
655,JD. ORDEM
338,CENTENÁRIO/HAUER
000,OPER S/LINHA
643,UMBARÁ
666,NOVO MUNDO
150,C.MUSIC/V.ALEGRE
860,V. SANDRA
523,IGUAPE I
809,MAD. CAMPO COMPRIDO
779,V.VELHA / BURITI
168,RAPOSO TAVARES
466,ESTUDANTES
714,V. MARISA
635,LONDRINA
684,RIO BONITO
644,PINHEIRINHO/CIC
472,UBERABA
812,MONTANA
918,VENEZA
627,BOSCH
560,ALFERES POLI
323,V. AUTÓDROMO
681,DALAGASSA
380,DETRAN/V.MACHADO
280,N. SRA.DE NAZARÉ
521,NIVALDO BRAGA
519,MAD. S. FRANCISCO / IGUAPE
515,IGUAPE II
274,STA. GEMA
788,MAD. V. VELHA
625,GRAMADOS
214,TINGUI
270,FERNANDO NORONHA
027,C.RASO/C.SIQUEIR
612,PORTÃO / CIC
617,JD. LUDOVICA
639,FUTURAMA
171,PRIMAVERA
511,SÃO FRANCISCO
387,PALOTINOS
342,B.ALTO/BOA VISTA
463,SOLITUDE
332,ACRÓPOLE
534,PARIGOT DE SOUZA
373,ALTO TARUMÃ
631,PIRATINI/BR476
690,V. JULIANA
665,V. REX
539,REFORÇO TERMINAL
637,STA. JOANA
638,PINHEIRINHO
X19,ESP.HASDRUBAL B.
010,INTERBAIRROS I H
MCC,C. CENTRO
