,codlinha,nomelinha
205,643,UMBARÁ
206,666,NOVO MUNDO
207,150,C.MUSIC/V.ALEGRE
208,860,V. SANDRA
209,523,IGUAPE I
210,809,MAD. CAMPO COMPRIDO
211,168,RAPOSO TAVARES
212,779,V.VELHA / BURITI
213,466,ESTUDANTES
214,714,V. MARISA
215,635,LONDRINA
216,684,RIO BONITO
217,472,UBERABA
218,812,MONTANA
219,918,VENEZA
220,627,BOSCH
221,560,ALFERES POLI
222,323,V. AUTÓDROMO
223,681,DALAGASSA
224,280,N. SRA.DE NAZARÉ
225,380,DETRAN/V.MACHADO
226,521,NIVALDO BRAGA
227,519,MAD. S. FRANCISCO / IGUAPE
228,515,IGUAPE II
229,274,STA. GEMA
230,788,MAD. V. VELHA
231,625,GRAMADOS
232,214,TINGUI
233,612,PORTÃO / CIC
234,270,FERNANDO NORONHA
235,027,C.RASO/C.SIQUEIR
236,617,JD. LUDOVICA
237,639,FUTURAMA
238,511,SÃO FRANCISCO
239,387,PALOTINOS
240,171,PRIMAVERA
241,342,B.ALTO/BOA VISTA
242,002,C. CENTRO (AH)
243,229,MAD.PENHA/F.NORO
244,534,PARIGOT DE SOUZA
245,463,SOLITUDE
246,332,ACRÓPOLE
247,373,ALTO TARUMÃ
248,631,PIRATINI/BR476
249,690,V. JULIANA
250,665,V. REX
251,637,STA. JOANA
252,539,REFORÇO TERMINAL
253,638,PINHEIRINHO
254,X19,ESP.HASDRUBAL B.
255,010,INTERBAIRROS I H
256,MCC,C. CENTRO
